Código Departamento|Departamento|Código Entidad|Entidad|Dimensión|Subcategoría|Indicador|Dato Numérico|Dato Cualitativo|Año|Mes|Fuente|Unidad de Medida
20|Cesar|20060|Bosconia|Pobreza|Indicadores de pobreza|IPM - Cabecera|76,06||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20175|Chimichagua|Pobreza|Indicadores de pobreza|IPM - Cabecera|76,31||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20178|Chiriguaná|Pobreza|Indicadores de pobreza|IPM - Cabecera|59,00||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20228|Curumaní|Pobreza|Indicadores de pobreza|IPM - Cabecera|67,92||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20238|El Copey|Pobreza|Indicadores de pobreza|IPM - Cabecera|74,25||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20250|El Paso|Pobreza|Indicadores de pobreza|IPM - Cabecera|65,54||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20295|Gamarra|Pobreza|Indicadores de pobreza|IPM - Cabecera|71,62||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20310|González|Pobreza|Indicadores de pobreza|IPM - Cabecera|47,05||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20383|La Gloria|Pobreza|Indicadores de pobreza|IPM - Cabecera|69,89||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20400|La Jagua de Ibirico|Pobreza|Indicadores de pobreza|IPM - Cabecera|64,15||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20443|Manaure|Pobreza|Indicadores de pobreza|IPM - Cabecera|59,34||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20517|Pailitas|Pobreza|Indicadores de pobreza|IPM - Cabecera|66,83||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20550|Pelaya|Pobreza|Indicadores de pobreza|IPM - Cabecera|76,38||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20570|Pueblo Bello|Pobreza|Indicadores de pobreza|IPM - Cabecera|75,44||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20614|Río de Oro|Pobreza|Indicadores de pobreza|IPM - Cabecera|50,17||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20621|La Paz|Pobreza|Indicadores de pobreza|IPM - Cabecera|54,09||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20710|San Alberto|Pobreza|Indicadores de pobreza|IPM - Cabecera|57,43||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20750|San Diego|Pobreza|Indicadores de pobreza|IPM - Cabecera|47,56||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20770|San Martín|Pobreza|Indicadores de pobreza|IPM - Cabecera|68,26||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20787|Tamalameque|Pobreza|Indicadores de pobreza|IPM - Cabecera|68,74||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23855|Valencia|Pobreza|Indicadores de pobreza|IPM - Cabecera|77,81||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23815|Tuchín|Pobreza|Indicadores de pobreza|IPM - Cabecera|||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23000|Córdoba|Pobreza|Indicadores de pobreza|IPM - Cabecera|66,49||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23001|Montería|Pobreza|Indicadores de pobreza|IPM - Cabecera|60,90||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23068|Ayapel|Pobreza|Indicadores de pobreza|IPM - Cabecera|79,57||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23079|Buenavista|Pobreza|Indicadores de pobreza|IPM - Cabecera|75,24||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23090|Canalete|Pobreza|Indicadores de pobreza|IPM - Cabecera|85,88||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23162|Cereté|Pobreza|Indicadores de pobreza|IPM - Cabecera|59,52||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23168|Chimá|Pobreza|Indicadores de pobreza|IPM - Cabecera|74,01||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23182|Chinú|Pobreza|Indicadores de pobreza|IPM - Cabecera|69,30||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23189|Ciénaga de Oro|Pobreza|Indicadores de pobreza|IPM - Cabecera|69,79||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23300|Cotorra|Pobreza|Indicadores de pobreza|IPM - Cabecera|81,49||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23350|La Apartada|Pobreza|Indicadores de pobreza|IPM - Cabecera|84,89||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23417|Lorica|Pobreza|Indicadores de pobreza|IPM - Cabecera|67,20||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23419|Los Córdobas|Pobreza|Indicadores de pobreza|IPM - Cabecera|85,74||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23464|Momil|Pobreza|Indicadores de pobreza|IPM - Cabecera|78,58||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23466|Montelíbano|Pobreza|Indicadores de pobreza|IPM - Cabecera|66,29||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23500|Moñitos|Pobreza|Indicadores de pobreza|IPM - Cabecera|79,15||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23555|Planeta Rica|Pobreza|Indicadores de pobreza|IPM - Cabecera|70,16||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23570|Pueblo Nuevo|Pobreza|Indicadores de pobreza|IPM - Cabecera|70,93||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23574|Puerto Escondido|Pobreza|Indicadores de pobreza|IPM - Cabecera|76,80||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23580|Puerto Libertador|Pobreza|Indicadores de pobreza|IPM - Cabecera|75,48||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23586|Purísima|Pobreza|Indicadores de pobreza|IPM - Cabecera|67,56||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23660|Sahagún|Pobreza|Indicadores de pobreza|IPM - Cabecera|62,19||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23670|San Andrés Sotavento|Pobreza|Indicadores de pobreza|IPM - Cabecera|64,19||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23672|San Antero|Pobreza|Indicadores de pobreza|IPM - Cabecera|71,81||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23675|San Bernardo del Viento|Pobreza|Indicadores de pobreza|IPM - Cabecera|76,58||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23678|San Carlos|Pobreza|Indicadores de pobreza|IPM - Cabecera|74,13||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23682|San José de Ure|Pobreza|Indicadores de pobreza|IPM - Cabecera|||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23686|San Pelayo|Pobreza|Indicadores de pobreza|IPM - Cabecera|67,81||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23807|Tierralta|Pobreza|Indicadores de pobreza|IPM - Cabecera|78,44||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
27|Chocó|27006|Acandí|Pobreza|Indicadores de pobreza|IPM - Cabecera|66,41||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
27|Chocó|27025|Alto Baudó|Pobreza|Indicadores de pobreza|IPM - Cabecera|98,46||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
27|Chocó|27050|Atrato|Pobreza|Indicadores de pobreza|IPM - Cabecera|96,77||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
27|Chocó|27000|Chocó|Pobreza|Indicadores de pobreza|IPM - Cabecera|77,34||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
27|Chocó|27001|Quibdó|Pobreza|Indicadores de pobreza|IPM - Cabecera|69,76||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
25|Cundinamarca|25815|Tocaima|Pobreza|Indicadores de pobreza|IPM - Cabecera|51,88||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
25|Cundinamarca|25817|Tocancipá|Pobreza|Indicadores de pobreza|IPM - Cabecera|22,76||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
25|Cundinamarca|25823|Topaipí|Pobreza|Indicadores de pobreza|IPM - Cabecera|50,22||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
25|Cundinamarca|25839|Ubalá|Pobreza|Indicadores de pobreza|IPM - Cabecera|29,63||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
25|Cundinamarca|25841|Ubaque|Pobreza|Indicadores de pobreza|IPM - Cabecera|29,80||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
25|Cundinamarca|25843|Villa de San Diego de Ubate|Pobreza|Indicadores de pobreza|IPM - Cabecera|32,82||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
25|Cundinamarca|25845|Une|Pobreza|Indicadores de pobreza|IPM - Cabecera|46,13||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
25|Cundinamarca|25851|Útica|Pobreza|Indicadores de pobreza|IPM - Cabecera|54,55||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
25|Cundinamarca|25862|Vergara|Pobreza|Indicadores de pobreza|IPM - Cabecera|37,79||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
25|Cundinamarca|25867|Vianí|Pobreza|Indicadores de pobreza|IPM - Cabecera|38,94||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
25|Cundinamarca|25871|Villagómez|Pobreza|Indicadores de pobreza|IPM - Cabecera|37,20||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
25|Cundinamarca|25873|Villapinzón|Pobreza|Indicadores de pobreza|IPM - Cabecera|38,38||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
